Timestamp,FBCM,FBGI,FBAE,FBCB,FBW1,FBW2,RSVD6,FBID,FUAE,FRPS
18:56:15,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:16,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:17,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:18,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:19,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:20,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:21,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:22,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:23,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:24,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:25,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
18:56:26,0x00,0x00,0x00,0x00,0x00,0x83,0x07,0x00,0x02,0x00
